Nome aceito,Cidade,Estado,País,Latitude,Longitude
Luffa operculata,Triunfo Potiguar,Rio Grande do Norte,Brasil, -5.86694002151489, -37.1885986328125
Luffa operculata,Pombal,Paraíba,Brasil, -6.77027988433838, -37.801700592041
Luffa operculata, Seringal Sao Clemente, Rio Purus,,Amazonas,Brazil
Luffa operculata, Municipio Ituiutaba,,Minas Gerais,Brazil,
Luffa operculata,CACHOEIRA,Bahia,Brasil, -12.533333, -39.083333
Luffa operculata,,Mato Grosso do Sul,Brasil,,
Luffa operculata,Bom Principio,Piauí,Brasil, -3.218833, -41.704194
Luffa operculata, Rio Jaú,,Amazonas,Brasil, -2.216667
Luffa operculata,Sousa,Paraíba,Brasil, -6.7591700553894, -38.228099822998
Luffa operculata, Empreendimento 'Brasil 2000'do Empreendedor-TOC Agricola SA,Xique-Xique,Bahia,Brasil, -10.678889
Luffa operculata,Cantagalo,Rio de Janeiro,Brazil, -21.98, -42.37
Luffa operculata,Cabrobó,Pernambuco,Brasil, -8.528056, -39.458333
Luffa operculata, path along bank between Leticia and El Marco.,,Amazonas,Brazil,
Luffa operculata,,,Brasil,,
Luffa operculata,Santarém,Pará,Brasil, -2.4433333, -54.7080556
Luffa operculata," Empreendimento ""Brasil 2000"" do Empreendedor-TOC Agricola SA.",IRECÊ,Bahia,Brasil, -10.666667
Luffa operculata,Sousa,Paraíba,Brasil, -6.7591700553894, -38.228099822998
Luffa operculata,Goiânia,Goiás,Brasil, -16.6786003112793, -49.2538986206055
Luffa operculata, km 22,Ilhéus,Bahia,Brazil, -14.7889003753662
Luffa operculata,Teófilo Otoni,Minas Gerais,Brasil, -17.826669, -41.47475
Luffa operculata,,Pará,Brasil,,
Luffa operculata, Seringal São Clemente, Rio Purus,,Amazonas,Brasil
Luffa operculata,Santos,São Paulo,Brasil, -23.9599990844727, -46.3300018310547
Luffa operculata, Rio Jauru,Cáceres,Mato Grosso,Brasil, -17.266619
Luffa operculata, margens da estrada,Sertânia,Pernambuco,Brasil, -8.33536666666667
Luffa operculata, Serro Frio et Calumbi.,Serro,Minas Gerais,Brazil, -18.61
Luffa operculata,Altos,Piauí,Brasil, -5.03806018829346, -42.4599990844727
Luffa operculata,Joselandia,Maranhão,Brasil, -4.93333005905151, -44.6833000183105
Luffa operculata,São Bento,Paraíba,Brasil, -6.48611, -37.4506
Luffa operculata, 5-10 km above mouth, Rio Juruá, 5-10 Km above mouth,Carauarí,Amazonas
Luffa operculata, path along bank between Leticia and El Marco,,Amazonas,Brasil,
Luffa operculata,Cachoeira,Bahia,Brasil, -12.6183, -38.9558
Luffa operculata, Rio Ituxi. Rio Purus between Lago Quati and Lago Arima, near Rio Jacare,,Amazonas,Brazil
Luffa operculata,Antenor Navarro,Paraíba,Brasil,,
